"ano","uf","idhm","idhm_renda","idhm_longevidade","idhm_educacao"
2010,"AC",0.663,0.671,0.777,0.559
2010,"AL",0.631,0.641,0.755,0.52
2010,"AM",0.674,0.677,0.805,0.561
2010,"AP",0.708,0.694,0.813,0.629
2010,"BA",0.66,0.663,0.783,0.555
2010,"CE",0.682,0.651,0.793,0.615
2010,"DF",0.824,0.863,0.873,0.742
2010,"ES",0.74,0.743,0.835,0.653
2010,"GO",0.735,0.742,0.827,0.646
2010,"MA",0.639,0.612,0.757,0.562
2010,"MG",0.731,0.73,0.838,0.638
2010,"MS",0.729,0.74,0.833,0.629
2010,"MT",0.725,0.732,0.821,0.635
2010,"PA",0.646,0.646,0.789,0.528
2010,"PB",0.658,0.656,0.783,0.555
2010,"PE",0.673,0.673,0.789,0.574
2010,"PI",0.646,0.635,0.777,0.547
2010,"PR",0.749,0.757,0.83,0.668
2010,"RJ",0.761,0.782,0.835,0.675
2010,"RN",0.684,0.678,0.792,0.597
2010,"RO",0.69,0.712,0.8,0.577
2010,"RR",0.707,0.695,0.809,0.628
2010,"RS",0.746,0.769,0.84,0.642
2010,"SC",0.774,0.773,0.86,0.697
2010,"SE",0.665,0.672,0.781,0.56
2010,"SP",0.783,0.789,0.845,0.719
2010,"TO",0.699,0.69,0.793,0.624
2011,"AC",0.688,0.667,0.785,0.612
2011,"AL",0.635,0.608,0.744,0.554
2011,"AM",0.672,0.65,0.761,0.604
2011,"AP",0.7,0.656,0.791,0.652
2011,"BA",0.675,0.653,0.787,0.586
2011,"CE",0.7,0.64,0.794,0.665
2011,"DF",0.819,0.837,0.861,0.758
2011,"ES",0.759,0.724,0.856,0.697
2011,"GO",0.74,0.723,0.805,0.693
2011,"MA",0.649,0.601,0.735,0.61
2011,"MG",0.745,0.717,0.847,0.671
2011,"MS",0.743,0.741,0.819,0.668
2011,"MT",0.747,0.726,0.799,0.716
2011,"PA",0.658,0.645,0.768,0.562
2011,"PB",0.681,0.661,0.777,0.604
2011,"PE",0.679,0.64,0.778,0.618
2011,"PI",0.644,0.627,0.752,0.553
2011,"PR",0.761,0.743,0.842,0.697
2011,"RJ",0.752,0.75,0.826,0.68
2011,"RN",0.705,0.666,0.824,0.624
2011,"RO",0.687,0.697,0.755,0.609
2011,"RR",0.721,0.706,0.748,0.708
2011,"RS",0.752,0.748,0.855,0.652
2011,"SC",0.791,0.762,0.872,0.739
2011,"SE",0.679,0.673,0.772,0.591
2011,"SP",0.802,0.761,0.858,0.787
2011,"TO",0.702,0.677,0.782,0.647
2012,"AC",0.696,0.674,0.792,0.621
2012,"AL",0.644,0.626,0.751,0.556
2012,"AM",0.679,0.658,0.765,0.613
2012,"AP",0.707,0.683,0.796,0.642
2012,"BA",0.682,0.662,0.791,0.593
2012,"CE",0.704,0.653,0.799,0.66
2012,"DF",0.827,0.836,0.866,0.78
2012,"ES",0.769,0.739,0.863,0.706
2012,"GO",0.745,0.737,0.808,0.689
2012,"MA",0.65,0.616,0.74,0.593
2012,"MG",0.754,0.731,0.852,0.68
2012,"MS",0.746,0.752,0.824,0.661
2012,"MT",0.755,0.745,0.803,0.716
2012,"PA",0.659,0.649,0.772,0.557
2012,"PB",0.682,0.668,0.782,0.597
2012,"PE",0.694,0.661,0.786,0.636
2012,"PI",0.664,0.662,0.755,0.576
2012,"PR",0.774,0.757,0.847,0.719
2012,"RJ",0.762,0.759,0.832,0.694
2012,"RN",0.715,0.683,0.828,0.634
2012,"RO",0.698,0.703,0.759,0.632
2012,"RR",0.729,0.703,0.754,0.729
2012,"RS",0.757,0.758,0.861,0.651
2012,"SC",0.797,0.767,0.878,0.745
