"ano","uf","idhm","idhm_renda","idhm_longevidade","idhm_educacao","perc_mulheres_candidatas","perc_mulheres_eleitas","qtd_mulheres_candidatas","qtd_mulheres_eleitas","perc_aprovacao_mulheres"
2010,"AC",0.663,0.671,0.777,0.559,0.201030927835052,0.157894736842105,78,3,0.0384615384615385
2010,"AL",0.631,0.641,0.755,0.52,0.214501510574018,0.0869565217391304,71,2,0.028169014084507
2010,"AM",0.674,0.677,0.805,0.561,0.301435406698565,0.0909090909090909,126,2,0.0158730158730159
2010,"AP",0.708,0.694,0.813,0.629,0.272189349112426,0.25,92,5,0.0543478260869565
2010,"BA",0.66,0.663,0.783,0.555,0.170520231213873,0.192982456140351,118,11,0.0932203389830508
2010,"CE",0.682,0.651,0.793,0.615,0.290215588723051,0.15,175,6,0.0342857142857143
2010,"DF",0.824,0.863,0.873,0.742,0.253393665158371,0.1875,224,3,0.0133928571428571
2010,"ES",0.74,0.743,0.835,0.653,0.109785202863962,0.0769230769230769,46,2,0.0434782608695652
2010,"GO",0.735,0.742,0.827,0.646,0.213953488372093,0.0571428571428571,138,2,0.0144927536231884
2010,"MA",0.639,0.612,0.757,0.562,0.145238095238095,0.189189189189189,61,7,0.114754098360656
2010,"MG",0.731,0.73,0.838,0.638,0.153218495013599,0.0571428571428571,169,4,0.0236686390532544
2010,"MS",0.729,0.74,0.833,0.629,0.253731343283582,0,68,0,0
2010,"MT",0.725,0.732,0.821,0.635,0.260586319218241,0,80,0,0
2010,"PA",0.646,0.646,0.789,0.528,0.29073482428115,0.176470588235294,182,6,0.032967032967033
2010,"PB",0.658,0.656,0.783,0.555,0.229559748427673,0.1875,73,6,0.0821917808219178
2010,"PE",0.673,0.673,0.789,0.574,0.157327586206897,0.0909090909090909,73,4,0.0547945205479452
2010,"PI",0.646,0.635,0.777,0.547,0.257777777777778,0.259259259259259,58,7,0.120689655172414
2010,"PR",0.749,0.757,0.83,0.668,0.257410296411856,0.0816326530612245,165,4,0.0242424242424242
2010,"RJ",0.761,0.782,0.835,0.675,0.303948080043267,0.163934426229508,562,10,0.0177935943060498
2010,"RN",0.684,0.678,0.792,0.597,0.210191082802548,0.0952380952380952,33,2,0.0606060606060606
2010,"RO",0.69,0.712,0.8,0.577,0.172323759791123,0.157894736842105,66,3,0.0454545454545455
2010,"RR",0.707,0.695,0.809,0.628,0.29372197309417,0.111111111111111,131,2,0.0152671755725191
2010,"RS",0.746,0.769,0.84,0.642,0.274760383386581,0.163265306122449,172,8,0.0465116279069767
2010,"SC",0.774,0.773,0.86,0.697,0.29041095890411,0.111111111111111,106,4,0.0377358490566038
2010,"SE",0.665,0.672,0.781,0.56,0.156028368794326,0.238095238095238,22,5,0.227272727272727
2010,"SP",0.783,0.789,0.845,0.719,0.189777327935223,0.0941176470588235,375,8,0.0213333333333333
2010,"TO",0.699,0.69,0.793,0.624,0.146551724137931,0.181818181818182,34,4,0.117647058823529
2014,"AC",0.719,0.679,0.804,0.673,0.308851224105461,0.166666666666667,164,4,0.024390243902439
2014,"AL",0.667,0.634,0.764,0.603,0.318181818181818,0.0740740740740741,98,2,0.0204081632653061
2014,"AM",0.709,0.688,0.774,0.666,0.313479623824451,0.0416666666666667,200,1,0.005
2014,"AP",0.747,0.702,0.806,0.734,0.305483028720627,0.333333333333333,117,8,0.0683760683760684
2014,"BA",0.703,0.682,0.8,0.627,0.306547619047619,0.111111111111111,206,7,0.0339805825242718
2014,"CE",0.716,0.659,0.807,0.682,0.311912225705329,0.152173913043478,199,7,0.0351758793969849
2014,"DF",0.839,0.852,0.876,0.789,0.307692307692308,0.208333333333333,316,5,0.0158227848101266
2014,"ES",0.771,0.743,0.875,0.695,0.316987740805604,0.133333333333333,181,4,0.0220994475138122
2014,"GO",0.75,0.739,0.814,0.697,0.305785123966942,0.0975609756097561,259,4,0.0154440154440154
2014,"MA",0.678,0.638,0.75,0.647,0.324829931972789,0.142857142857143,191,6,0.031413612565445
2014,"MG",0.769,0.738,0.862,0.707,0.321100917431193,0.0649350649350649,385,5,0.012987012987013
2014,"MS",0.762,0.764,0.833,0.688,0.337931034482759,0.125,147,3,0.0204081632653061
2014,"MT",0.767,0.749,0.812,0.739,0.318452380952381,0.0416666666666667,107,1,0.00934579439252336
2014,"PA",0.675,0.654,0.779,0.592,0.312820512820513,0.0731707317073171,244,3,0.0122950819672131
2014,"PB",0.701,0.678,0.794,0.631,0.334894613583138,0.0833333333333333,143,3,0.020979020979021
2014,"PE",0.709,0.674,0.801,0.651,0.315789473684211,0.102040816326531,174,5,0.028735632183908
2014,"PI",0.678,0.661,0.761,0.612,0.325581395348837,0.133333333333333,84,4,0.0476190476190476
2014,"PR",0.79,0.764,0.858,0.748,0.315230224321133,0.0555555555555556,267,3,0.0112359550561798
